№,Player,Team,Apps,Min,G,A,xG,xA,xG90,xA90
358,Ainsley Maitland-Niles,Arsenal,8,251,0,0,0.03+0.03,0.23+0.23,0.01,0.08
359,Nampalys Mendy,Leicester,14,1041,0,0,0.02+0.02,0.03+0.03,0,0
360,Lucas Digne,"Aston Villa, Everton",29,2446,0,4,0.86+0.86,3.52-0.48,0.03,0.13
361,Alex Telles,Manchester United,21,1659,0,4,0.45+0.45,2.17-1.83,0.02,0.12
362,Vicente Guaita,Crystal Palace,30,2659,0,0,0,0,0,0
363,Saúl Ñíguez,Chelsea,10,477,0,0,0.14+0.14,0.19+0.19,0.03,0.04
364,Alphonse Areola,West Ham,1,90,0,0,0,0,0,0
365,André Gomes,Everton,14,621,0,1,0.99+0.99,0.16-0.84,0.14,0.02
366,Oleksandr Zinchenko,Manchester City,15,1026,0,4,0.49+0.49,2.31-1.69,0.04,0.2
367,Issa Diop,West Ham,13,964,0,1,0.06+0.06,0.29-0.71,0.01,0.03
368,Nicolas N'Koulou,Watford,3,167,0,0,0,0.01+0.01,0,0.01
369,Benjamin Mendy,Manchester City,1,80,0,0,0,0.29+0.29,0,0.32
370,Hélder Costa,Leeds,1,20,0,0,0.02+0.02,0,0.08,0
371,Jonas Lössl,Brentford,2,180,0,0,0,0,0,0
372,Morgan Sanson,Aston Villa,10,349,0,0,0.01+0.01,0.03+0.03,0,0.01
373,Emiliano Martinez,Aston Villa,36,3240,0,0,0,0,0,0
374,Jed Steer,Aston Villa,1,90,0,0,0,0,0,0
375,Jean-Philippe Gbamin,Everton,3,67,0,0,0,0,0,0
376,Kiko Femenía,Watford,27,2157,0,5,0.06+0.06,3.58-1.42,0,0.15
377,Kepa,Chelsea,4,360,0,0,0,0,0,0
378,Álvaro Fernández,Brentford,12,1080,0,0,0,0,0,0
379,Angus Gunn,Norwich,9,810,0,0,0,0,0,0
380,Wilfred Ndidi,Leicester,19,1621,0,0,0.58+0.58,0.08+0.08,0.03,0
381,Luka Milivojevic,Crystal Palace,15,776,0,0,0.29+0.29,0.64+0.64,0.03,0.07
382,Nick Pope,Burnley,36,3240,0,0,0,0.07+0.07,0,0
383,Aaron Wan-Bissaka,Manchester United,20,1795,0,0,0.29+0.29,0.92+0.92,0.01,0.05
384,Aaron Ramsdale,Arsenal,34,3060,0,0,0,0,0,0
385,Malang Sarr,Chelsea,8,549,0,0,0.02+0.02,0.39+0.39,0,0.06
386,Giovani Lo Celso,Tottenham,9,223,0,0,0.73+0.73,1.06+1.06,0.3,0.43
387,Fernando Marçal,Wolverhampton Wanderers,18,1468,0,0,0.60+0.60,0.72+0.72,0.04,0.04
388,Jairo Riedewald,Crystal Palace,3,112,0,0,0,0.05+0.05,0,0.04
389,Charlie Taylor,Burnley,31,2729,0,3,0.19+0.19,3.42+0.42,0.01,0.11
390,Solly March,Brighton,31,1723,0,2,1.45+1.45,2.99+0.99,0.08,0.16
391,Dale Stephens,Burnley,3,121,0,0,0.04+0.04,0.02+0.02,0.03,0.01
392,Ederson,Manchester City,37,3330,0,0,0,0,0,0
393,Victor Lindelöf,Manchester United,28,2349,0,2,0.19+0.19,0.66-1.34,0.01,0.03
394,Will Hughes,Crystal Palace,16,1071,0,1,0.14+0.14,0.96-0.04,0.01,0.08
395,Rodrigo Bentancur,Tottenham,17,1376,0,4,0.58+0.58,3.09-0.91,0.04,0.2
396,Nélson Semedo,Wolverhampton Wanderers,25,2151,0,1,1.39+1.39,1.36+0.36,0.06,0.06
397,Lyanco,Southampton,15,898,0,0,0.26+0.26,0.17+0.17,0.03,0.02
398,Robin Koch,Leeds,20,1573,0,0,1.09+1.09,0.28+0.28,0.06,0.02
399,Boubakary Soumare,Leicester,19,1102,0,1,0.33+0.33,0.29-0.71,0.03,0.02
400,Joachim Andersen,Crystal Palace,34,2917,0,3,0.48+0.48,1.38-1.62,0.01,0.04
401,Ibrahima Konaté,Liverpool,11,990,0,0,0.21+0.21,0,0.02,0
402,Joe Rodon,Tottenham,3,86,0,0,0,0,0,0
403,Hamza Choudhury,Leicester,6,289,0,0,0.02+0.02,0,0.01,0
404,Nathan Ferguson,Crystal Palace,1,6,0,0,0,0,0,0
405,Cenk Tosun,Everton,1,2,0,0,0,0,0,0
406,Júnior Firpo,Leeds,24,1735,0,2,0.94+0.94,2.52+0.52,0.05,0.13
407,Reiss Nelson,Arsenal,1,18,0,0,0.04+0.04,0.06+0.06,0.19,0.3
408,Romain Perraud,Southampton,20,1630,0,1,0.73+0.73,0.40-0.60,0.04,0.02
409,Yerry Mina,Everton,13,842,0,0,0.24+0.24,0.03+0.03,0.03,0
410,Martin Dubravka,Newcastle United,26,2340,0,0,0,0.03+0.03,0,0
411,Oghenekaro Etebo,Watford,9,387,0,0,0.04+0.04,0.12+0.12,0.01,0.03
412,Jürgen Locadia,Brighton,1,20,0,0,0.06+0.06,0,0.25,0
413,Ibrahima Diallo,Southampton,23,1008,0,2,0.34+0.34,1.04-0.96,0.03,0.09
414,Dwight McNeil,Burnley,38,3130,0,1,2.44+2.44,5.01+4.01,0.07,0.14
415,Ryan Sessegnon,Tottenham,15,1065,0,2,0.38+0.38,3.28+1.28,0.03,0.28
416,Ken Sema,Watford,18,835,0,0,0.15+0.15,1.59+1.59,0.02,0.17
417,Willy Boly,Wolverhampton Wanderers,10,900,0,0,0.09+0.09,0.06+0.06,0.01,0.01
418,Morgan Gibbs-White,Wolverhampton Wanderers,2,4,0,0,0.10+0.10,0,2.23,0
419,Edouard Mendy,Chelsea,34,3060,0,0,0,0,0,0
420,Ryan Fredericks,West Ham,7,296,0,0,0,0.12+0.12,0,0.04
421,Mohammed Salisu,Southampton,34,2972,0,0,1.79+1.79,0.54+0.54,0.05,0.02
422,Samuel Kalu,Watford,4,220,0,0,0.39+0.39,0.29+0.29,0.16,0.12
423,Robin Olsen,Aston Villa,1,90,0,0,0,0,0,0
424,William Troost-Ekong,Watford,17,1381,0,0,0.10+0.10,0.07+0.07,0.01,0
425,Francisco Sierralta,Watford,5,430,0,0,0.03+0.03,0,0.01,0
426,Mathias Jensen,Brentford,31,1598,0,1,2.70+2.70,3.16+2.16,0.15,0.18
427,Oliver Skipp,Tottenham,18,1340,0,0,0.15+0.15,0.76+0.76,0.01,0.05
428,Jason Steele,Brighton,1,90,0,0,0,0,0,0
429,Imran Louza,Watford,20,1443,0,0,1.17+1.17,0.83+0.83,0.07,0.05
430,Yan Valery,Southampton,5,368,0,0,0.03+0.03,0.26+0.26,0.01,0.06
431,Diogo Dalot,Manchester United,24,1790,0,0,0.66+0.66,0.85+0.85,0.03,0.04
432,Ben White,Arsenal,32,2880,0,0,0.69+0.69,1.19+1.19,0.02,0.04
433,Bryan Gil Salvatierra,Tottenham,9,76,0,0,0.10+0.10,0.10+0.10,0.12,0.12
434,Ozan Kabak,Norwich,11,926,0,0,0.58+0.58,0.03+0.03,0.06,0
435,Harvey Elliott,Liverpool,6,348,0,0,0.61+0.61,0.52+0.52,0.16,0.13
436,Wesley Fofana,Leicester,7,630,0,0,0.57+0.57,0.04+0.04,0.08,0.01
437,Max Aarons,Norwich,34,2882,0,2,0.84+0.84,1.79-0.21,0.03,0.06
438,Ben Godfrey,Everton,23,2034,0,0,1.30+1.30,0.71+0.71,0.06,0.03
439,Jamal Lewis,Newcastle United,5,261,0,0,0,0.03+0.03,0,0.01
440,Todd Cantwell,Norwich,8,443,0,0,0.12+0.12,0.31+0.31,0.02,0.06
441,Moussa Djenepo,Southampton,12,449,0,0,1.28+1.28,0.27+0.27,0.26,0.05
442,Trézéguet,Aston Villa,1,8,0,0,0.05+0.05,0,0.57,0
443,Wesley,Aston Villa,1,1,0,0,0,0,0,0
444,James Justin,Leicester,13,993,0,0,0.53+0.53,0.85+0.85,0.05,0.08
445,Zack Steffen,Manchester City,1,90,0,0,0,0,0,0
446,Caoimhin Kelleher,Liverpool,2,180,0,0,0,0,0,0
447,Takehiro Tomiyasu,Arsenal,21,1688,0,1,0.39+0.39,1,0.02,0.05
448,Billy Gilmour,Norwich,24,1864,0,1,0.84+0.84,1.05+0.05,0.04,0.05
449,Christoph Zimmermann,Norwich,3,162,0,0,0.04+0.04,0,0.02,0
450,Aaron Connolly,Brighton,4,152,0,0,0.60+0.60,0.38+0.38,0.35,0.23
451,Alex Kral,West Ham,1,1,0,0,0,0,0,0
